,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,SIDO,GUNGU,GENDER,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_PRIORITY,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,DGSTFN
23796,한남리머체왓숲길,1.0,제주,서귀포시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23797,이마트 김포한강점,4.0,경기,김포시,1,30,2,2,3,7,1,7,7,7,7,7,7.0,5.0
23798,무의도 해상관광탐방로,1.0,인천,중구,1,30,2,2,3,7,1,7,7,7,7,7,7.0,5.0
23799,신창풍차해안,1.0,제주,제주시,1,50,2,22,1,4,6,2,1,4,7,4,10.0,4.0
23800,한담해안산책로,7.0,제주,제주시,1,50,2,22,1,4,6,2,1,4,7,4,10.0,5.0
23801,안돌오름,1.0,제주,제주시,1,50,2,22,1,4,6,2,1,4,7,4,10.0,5.0
23802,곽지해수욕장,1.0,제주,제주시,1,50,2,22,1,4,6,2,1,4,7,4,10.0,3.0
23803,성이시돌목장,1.0,제주,제주시,1,50,2,22,1,4,6,2,1,4,7,4,10.0,4.0
23804,산굼부리매표소,1.0,제주,제주시,1,50,2,22,1,4,6,2,1,4,7,4,10.0,5.0
23805,사천바다케이블카,6.0,경남,사천시,0,30,3,1,5,2,4,1,3,4,6,2,2.0,3.0
23806,삼천포용궁수산시장,4.0,경남,사천시,0,30,3,1,5,2,4,1,3,4,6,2,2.0,5.0
23807,아라마루 아쿠아리움,6.0,경남,사천시,0,30,3,1,5,2,4,1,3,4,6,2,2.0,4.0
23808,신비의도로,1.0,제주,제주시,1,50,4,11,1,1,1,4,7,4,3,7,7.0,4.0
23809,우도봉 입구,1.0,제주,제주시,1,50,4,11,1,1,1,4,7,4,3,7,7.0,4.0
23810,중문색달해수욕장,1.0,제주,서귀포시,1,50,4,11,1,1,1,4,7,4,3,7,7.0,5.0
